rank,channel,bluebrain_compartment,other_model,other_compartment,matched_tau_gates,p_open_rmse,p_open_mae,tau_rmse_norm,tau_mae_norm,residual_rmse,residual_mae,similarity
1,PVBC A-type K,dend,Bezaire,dend,"n,l",0.00222011768842376,0.00156212852727634,0.386584452761484,0.29126922390778,0.194402285224954,0.146415676217528,different
2,PVBC A-type K,dend,Traub INT,dend,"gate1,gate2",0.0110111610483399,0.0059119917300489,0.423679039915234,0.291836243649062,0.217345100481787,0.148874117689555,different
3,PVBC KDR,dend,Bezaire,dend,"n",0.289457369807204,0.172404329848717,0.484373352462877,0.352241926464805,0.38691536113504,0.262323128156761,different
4,PVBC KDR,dend,Traub INT,dend,"n",0.369751909593871,0.245434243075899,0.460312716844654,0.328457301860258,0.415032313219262,0.286945772468079,different
5,PVBC KDR,dend,Canakci,dend,"n",0.403428279392832,0.302668689866082,0.488771482507099,0.365002827436224,0.446099880949966,0.333835758651153,different
