rank,channel,bluebrain_compartment,other_model,other_compartment,matched_tau_gates,p_open_rmse,p_open_mae,tau_rmse_norm,tau_mae_norm,residual_rmse,residual_mae,similarity
1,PC Na,apic,Canakci,apic,"m,h",0.000396347932266708,0.000167289050222703,3.73942960692087e-17,1.4351920771979e-17,0.000198173966133373,8.36445251113585e-05,similar
2,PC KDR,apic,Canakci,apic,"n",0.00335181247328488,0.0023192494761022,0.0468503254223794,0.0373822413083073,0.0251010689478322,0.0198507453922048,similar
3,PC KDR,apic,Bezaire,apic,"n",0.0447620870499582,0.0263073133481594,0.0610532635869397,0.0489960544763587,0.0529076753184489,0.037651683912259,similar
4,PC Na,apic,Traub PC,apic,"m,h",0.0185292379963478,0.00844433894513646,0.124533527348416,0.0865832015429306,0.0715313826723818,0.0475137702440335,moderately different
5,PC Na,apic,Bezaire,apic,"m,h",0.00181158382240712,0.000898844718109603,0.178235820288297,0.109531759150478,0.090023702055352,0.0552153019342937,moderately different
6,PC KDR,apic,Traub PC,apic,"n",0.369751909593871,0.245434243075899,0.460312716844654,0.328457301860258,0.415032313219262,0.286945772468079,different
